DATE;BALANCE;EQUITY;DEPOSIT_LOAD;
2010.12.13 00:00;10000.00;10000.00;0.0000;
2019.03.25 01:00;10040.00;9980.00;0.0000;
2019.03.25 01:00;10040.00;10400.00;13.5062;
2019.03.25 01:00;10040.00;10400.00;12.1557;
2019.03.25 01:00;9834.80;7934.00;15.9338;
2019.03.25 01:00;9834.80;7934.00;14.6950;
2019.03.25 01:00;9714.80;8581.40;13.5864;
2019.03.25 01:00;9714.80;8581.40;12.2769;
2019.03.25 05:00;9611.20;8596.40;12.2555;
2019.03.25 05:00;9611.20;8596.40;11.1116;
2019.03.25 05:00;9531.40;8698.40;10.9813;
2019.03.25 05:00;9531.40;8698.40;10.0125;
2019.03.25 05:00;9412.60;8295.40;10.4990;
2019.03.25 05:00;9412.60;8295.40;9.4830;
2019.03.25 05:00;9323.60;8407.40;9.3566;
2019.03.25 05:00;9323.60;8407.40;8.5212;
2019.03.25 09:00;9236.10;8422.70;8.5057;
2019.03.25 09:00;9236.10;8422.70;7.6719;
2019.03.25 09:00;9140.10;8123.70;7.9543;
2019.03.25 09:00;9140.10;8123.70;7.2627;
2019.03.25 09:00;9116.10;8879.70;6.6444;
2019.03.25 09:00;9116.10;8879.70;6.0116;
2019.03.25 09:00;9092.10;8803.70;6.0635;
2019.03.25 09:00;9092.10;8803.70;5.5848;
2019.03.25 13:00;9067.20;8793.20;5.5915;
2019.03.25 13:00;9067.20;8793.20;5.1122;
2019.03.25 13:00;9064.50;9030.00;4.9782;
2019.03.25 13:00;9064.50;9030.00;4.5115;
2019.03.25 13:00;9021.70;8435.50;4.8295;
2019.03.25 13:00;9021.70;8435.50;4.4965;
2019.03.25 13:00;8979.30;8440.90;4.4936;
2019.03.25 13:00;8979.30;8440.90;4.1607;
2019.03.25 17:00;8937.50;8448.40;4.1570;
2019.03.25 17:00;8937.50;8448.40;3.8245;
2019.03.25 17:00;8889.70;8379.40;3.8560;
2019.03.25 17:00;8889.70;8379.40;3.5208;
2019.03.25 17:00;8890.50;8889.70;3.3187;
2019.03.25 17:00;8890.50;8889.70;3.0027;
2019.03.25 17:00;8870.70;8505.90;3.1382;
2019.03.25 17:00;8870.70;8505.90;2.9730;
2019.03.25 21:00;8850.60;8500.50;2.9749;
2019.03.25 21:00;8850.60;8500.50;2.8096;
2019.03.25 21:00;8825.50;8415.50;2.8380;
2019.03.25 21:00;8825.50;8415.50;2.6711;
2019.03.25 21:00;8819.80;8725.90;2.5761;
2019.03.25 21:00;8819.80;8725.90;2.4151;
2019.03.25 21:00;8813.80;8721.40;2.4164;
2019.03.25 21:00;8813.80;8721.40;2.2553;
2019.03.26 01:00;8807.60;8718.60;2.2560;
2019.03.26 01:00;8807.60;8718.60;2.0949;
2019.03.26 01:00;8799.10;8688.70;2.1022;
2019.03.26 01:00;8799.10;8688.70;1.9405;
2019.03.26 01:00;8800.40;8806.30;1.9145;
2019.03.26 01:00;8800.40;8806.30;1.7550;
2019.03.26 01:00;8798.20;8767.80;1.7627;
2019.03.26 01:00;8798.20;8767.80;1.6026;
2019.03.26 05:00;8796.50;8772.80;1.6017;
2019.03.26 05:00;8796.50;8772.80;1.4415;
2020.03.23 01:00;8796.50;3156.80;4.0060;
2020.09.02 22:49;8796.50;15799.10;0.8004;
2020.09.28 09:49;8796.50;13411.40;0.9429;
2020.10.30 21:45;8796.50;12602.30;1.0035;
2020.12.18 11:09;8796.50;17079.80;0.7404;
2020.12.18 17:50;8796.50;16826.00;0.7516;
2020.12.21 12:57;8796.50;15943.10;0.7932;
2021.03.16 15:30;8796.50;19285.70;0.6557;
2021.03.16 16:21;8796.50;19263.20;0.6565;
2021.03.25 17:55;8796.50;18185.00;0.6954;
2021.06.10 17:03;8796.50;21751.70;0.5814;
2021.06.11 05:21;8796.50;21665.30;0.5837;
2021.06.21 06:17;8796.50;20740.10;0.6097;
2021.09.03 15:30;8796.50;24458.90;0.5170;
2021.09.09 11:35;8796.50;24020.60;0.5265;
2021.10.01 09:55;8796.50;21937.10;0.5765;
2021.11.22 17:16;8796.50;26195.90;0.4827;
2021.12.03 12:27;8796.50;24609.20;0.5139;
2022.01.04 16:42;8796.50;26860.10;0.4708;
2022.02.24 09:28;8796.50;20464.70;0.6179;
2022.02.25 01:26;8796.50;21893.90;0.5776;
2022.03.29 22:35;8796.50;25241.90;0.5010;
2022.05.12 21:43;8796.50;18233.60;0.6936;
2022.05.18 18:02;8796.50;19566.50;0.6463;
2022.05.30 12:48;8796.50;21331.40;0.5928;
2022.06.17 17:49;8796.50;16224.80;0.7794;
2022.08.08 12:39;8796.50;20889.50;0.6054;
2022.08.16 21:10;8796.50;22430.30;0.5638;
2022.10.13 16:33;8796.50;14916.20;0.8478;
2022.10.27 10:44;8796.50;18049.10;0.7006;
2022.11.03 17:01;8796.50;16758.50;0.7546;
2022.12.13 15:30;8796.50;20752.70;0.6094;
2023.01.19 19:22;8796.50;18593.60;0.6801;
2023.02.02 21:01;8796.50;21261.20;0.5948;
2023.03.13 15:49;8796.50;17778.20;0.7113;
2023.04.17 03:17;8796.50;20810.30;0.6077;
2023.05.04 17:30;8796.50;19918.40;0.6349;
2023.07.12 17:40;8796.50;23933.30;0.5284;
2023.07.13 06:14;8796.50;23882.90;0.5295;
2023.07.27 15:46;8796.50;25009.70;0.5056;
2023.10.04 10:01;8796.50;21288.20;0.5940;
2023.10.06 15:19;8796.50;21823.70;0.5795;
2023.10.27 22:40;8796.50;20392.70;0.6201;
2023.12.29 10:29;8796.50;26672.90;0.4741;
2024.01.05 08:55;8796.50;25662.20;0.4928;
2024.01.05 15:31;8796.50;25464.20;0.4966;
2024.04.01 02:43;8796.50;31043.30;0.4074;
2024.04.03 15:12;8796.50;30386.30;0.4162;
2024.04.19 05:18;8796.50;27824.00;0.4545;
2024.06.28 17:12;8796.50;33213.20;0.3808;
2024.06.28 17:47;8796.50;33150.20;0.3815;
2024.08.05 15:32;8796.50;29304.50;0.4315;
2024.09.19 20:54;8796.50;35120.30;0.3601;
2024.09.23 08:13;8796.50;34968.20;0.3616;
2024.10.02 16:45;8796.50;34556.00;0.3660;
2024.12.06 16:59;8796.50;38416.10;0.3292;
2024.12.16 20:53;8796.50;38278.40;0.3304;
2025.02.19 21:51;8796.50;38798.60;0.3259;
2025.03.11 20:30;8796.50;33257.30;0.3802;
2025.03.12 19:34;8796.50;34056.50;0.3713;
2025.04.07 01:05;8796.50;26695.40;0.4737;
2025.05.29 11:01;8796.50;37474.70;0.3375;
2025.05.30 23:54;36612.50;36612.50;0.0000;
